name,total games,spawns,victories,defeats,deaths,ground_kills,air_kills,naval_kills,rp,sl,games,win rate,spawn / g,lvling,farm,ground / game,air / game,naval / game,ground / spawn,air / spawn,naval / spawn,ground / death,air / death,naval / death,mode,name_x,id,Class,Class,Move Type,Move Type,rank,BR / a,BR / a,BR / r,BR / r,BR / s,BR / s,BRTank / r,BRTank / r,BRTank / s,BRTank / s,country,Prem,Prem,Event,Event,Gift,Gift,Normal,Normal,Own
A6M3,62243.0,65399.0,30703.0,31540.0,55548.0,13919.0,71450.0,501.0,6687516.0,71493541.0,90411.0,0.49327635236090805,1.0507044968912167,102.25715989541125,1093.1901252312728,0.22362353999646548,1.1479202480600228,0.008049097890525842,0.21283200048930412,1.0925243505252373,0.007660667594305723,0.25057607834665513,1.2862749333909411,0.009019226614819615,arcade,a6m3_zero,a6m3_zero,exp_fighter,,air,,3.0,4.3,,4.0,,3.7,,,,,,japan,False,,False,,False,,True,,True
Spitfire Mk IIb,98034.0,103051.0,46357.0,51677.0,88672.0,13287.0,102447.0,441.0,8231546.0,58150361.0,159994.0,0.47286655650080583,1.0511761225697207,79.87837090372729,564.2872073051208,0.1355346104412755,1.0450149947977232,0.004498439316971663,0.1289361578247664,0.9941388244655559,0.004279434454784524,0.1498443702634428,1.155347798628654,0.004973385059545291,arcade,spitfiremkii,spitfiremkii,exp_fighter,,air,,2.0,3.7,,3.7,,3.0,,,,,,britain,False,,False,,False,,True,,True
Pz.IV F2,697770.0,716720.0,321855.0,375915.0,613713.0,598613.0,42426.0,,97277673.0,591079351.0,1071180.0,0.46126230706393223,1.0271579460280609,135.72618735349928,824.7005120549169,0.857894435129054,0.06080227008899781,,0.8352117981917625,0.05919466458310079,,0.9753956654006025,0.06913003309364475,,arcade,germ_pzkpfw_IV_ausf_F2,germ_pzkpfw_IV_ausf_F2,exp_tank,,tank,,2.0,3.3,,3.3,,3.3,,,,,,germany,False,,False,,False,,True,,True
Ki-61-I Hei,28052.0,30535.0,14300.0,13752.0,24966.0,14408.0,37466.0,331.0,4214923.0,59985527.0,44593.0,0.5097675745044916,1.088514187936689,138.03579498935648,1964.4842639593908,0.5136175673748752,1.335591045201768,0.01179951518608299,0.47185197314557065,1.2269854265596856,0.010840019649582446,0.5771048626131539,1.500680926059441,0.013258030922053993,arcade,ki_61_1a_hei,ki_61_1a_hei,exp_fighter,,air,,4.0,5.3,,4.7,,4.0,,,,,,japan,False,,False,,False,,True,,True
Spitfire Mk Vb/trop,83869.0,88038.0,40078.0,43791.0,75360.0,12449.0,85670.0,364.0,7722122.0,65441337.0,141769.0,0.47786428835445754,1.0497084739295806,87.7135100751948,743.3305731615893,0.14843386710226664,1.0214739653507254,0.0043401018254659056,0.14140484790658578,0.9731025239101297,0.004134578250301006,0.16519373673036095,1.1368099787685775,0.004830148619957537,arcade,spitfire_mk5b,spitfire_mk5b,exp_fighter,,air,,2.0,3.7,,3.7,,3.3,,,,,,britain,False,,False,,False,,True,,True
Yak-7B,204467.0,211939.0,103383.0,101084.0,182723.0,48796.0,286113.0,1421.0,21254404.0,145943115.0,270588.0,0.5056219341018355,1.036543794353123,100.28547836877593,688.6090573230977,0.2386497576626057,1.3993113803205408,0.0069497767365883,0.23023605848852735,1.3499780597247322,0.006704759388314562,0.2670490304997182,1.5658291512289093,0.007776798760966052,arcade,yak-7b,yak-7b,exp_fighter,,air,,2.0,3.3,,2.7,,2.7,,,,,,ussr,False,,False,,False,,True,,True
StuG III A,47507.0,48196.0,22555.0,24952.0,38060.0,53064.0,2321.0,,8129222.0,34140309.0,113838.0,0.47477213884269687,1.0145031258551371,168.6700556062744,708.3639513652586,1.1169722356705327,0.04885595806933715,,1.101004232716408,0.04815752344592912,,1.3942196531791908,0.06098265895953757,,arcade,germ_stug_III_ausf_A,germ_stug_III_ausf_A,exp_tank_destroyer,,tank,,1.0,2.3,,2.3,,2.3,,,,,,germany,False,,False,,False,,True,,True
P-400,475445.0,497891.0,231358.0,244087.0,443316.0,143655.0,491611.0,5060.0,39647140.0,233039646.0,664566.0,0.4866135935807507,1.0472105080503529,79.63016001494303,468.0535418394789,0.3021485134978809,1.0340018298646532,0.010642661085930023,0.2885270069151682,0.9873867975119052,0.010162866972891657,0.3240465040738435,1.1089403495475012,0.011413980095462378,arcade,p-400,p-400,exp_fighter,,air,,2.0,2.7,,2.0,,2.0,,,,,,usa,False,,False,,False,,True,,True
Bf 109 F-4,353451.0,372268.0,177153.0,176298.0,320126.0,70433.0,513225.0,1737.0,46780748.0,474155109.0,504668.0,0.5012095028730998,1.053237931141799,125.66416667562079,1273.6929013506399,0.19927231780359936,1.4520400281792951,0.004914401147542375,0.18919971633339422,1.3786438802153287,0.0046659933166428484,0.22001649350568214,1.6031968662339204,0.005425988517021423,arcade,bf-109f-4,bf-109f-4,exp_fighter,,air,,3.0,4.3,,4.0,,4.0,,,,,,germany,False,,False,,False,,True,,True
StuG III F,81547.0,83165.0,38197.0,43350.0,66803.0,81313.0,4025.0,,13597740.0,108410623.0,180614.0,0.4684047236562964,1.0198413185034398,163.50315637587929,1303.560668550472,0.9971304891657572,0.04935803892233927,,0.9777310166536404,0.04839776348223411,,1.2172058141101447,0.06025178509947158,,arcade,germ_stug_III_ausf_F,germ_stug_III_ausf_F,exp_tank_destroyer,,tank,,2.0,3.3,,3.3,,3.3,,,,,,germany,False,,False,,False,,True,,True
